
code	|	name	|	preferred name	|	taxid
1	|	Lipomyces,	|	Lipomyces	|	29828
1	|	Coprinopsis,	|	Coprinopsis	|	184431
1	|	Aphanomyces,	|	Aphanomyces	|	100860
1	|	Aspergillus,	|	Aspergillus	|	5052
1	|	Aureococcus,	|	Aureococcus	|	44055
1	|	Danio,	|	Danio	|	7954
1	|	Mugil,	|	Mugil	|	8190
1	|	Fusarium,	|	Fusarium	|	5506
1	|	Morone,	|	Morone	|	34815
1	|	Bigelowiella,	|	Bigelowiella	|	227085
1	|	Crassostrea,	|	Crassostrea	|	6564
1	|	Ctenopharyngodon,	|	Ctenopharyngodon	|	7958
1	|	Bolivina,	|	Bolivina	|	46083
1	|	Gigantopelta,	|	Gigantopelta	|	1735270
1	|	Pundamilia,	|	Pundamilia	|	195936
1	|	Lagenidium,	|	Lagenidium	|	4802
1	|	Phytophthora,	|	Phytophthora	|	4783
1	|	Penicillium,	|	Penicillium	|	5073
1	|	Cassidulina,	|	Cassidulina	|	325260
1	|	Fistulifera,	|	Fistulifera	|	880756
1	|	Ectocarpus,	|	Ectocarpus	|	2879
1	|	Bufo,	|	Bufo	|	8383
1+	|	Cryptococcus,	|	Cryptococcus	|	5206
1+	|	Cryptococcus,	|	Cryptococcus	|	79213
1	|	Eimeria,	|	Eimeria	|	5800
1	|	Notolabrus,	|	Notolabrus	|	98381
1	|	Blepharisma,	|	Blepharisma	|	5959
1	|	Peronosclerospora,	|	Peronosclerospora	|	230838
1	|	Perkinsus,	|	Perkinsus	|	28000
1	|	Homarus,	|	Homarus	|	6705
1	|	Exophiala,	|	Exophiala	|	5583
1	|	Pyricularia,	|	Pyricularia	|	48558
1	|	Aureobasidium,	|	Aureobasidium	|	5579
1	|	Pelagophyceae,	|	Pelagophyceae	|	35675
1	|	Glarea,	|	Glarea	|	101851
1	|	Betta,	|	Betta	|	158455
1	|	Laccaria,	|	Laccaria	|	29882
1	|	Cucurbitaria,	|	Cucurbitaria	|	45141
1	|	Melanotaenia,	|	Melanotaenia	|	32459
1	|	Eremothecium,	|	Eremothecium	|	33170
1	|	Peronospora,	|	Peronospora	|	70742
1	|	Orbicella,	|	Orbicella	|	1920453
1	|	Oncorhynchus,	|	Oncorhynchus	|	8016
1	|	Dendronephthya,	|	Dendronephthya	|	51109
1	|	Rhinichthys,	|	Rhinichthys	|	67555
1	|	Penaeus,	|	Penaeus	|	133894
1	|	Nematostella,	|	Nematostella	|	45350
1	|	Chaetoceros,	|	Chaetoceros	|	49237
1	|	Nonionella,	|	Nonionella	|	191123
1	|	Globobulimina,	|	Globobulimina	|	212512
1	|	Pseudo-nitzschia,	|	Pseudo-nitzschia	|	41953
1	|	Neolamprologus,	|	Neolamprologus	|	32506
1	|	Plasmopara,	|	Plasmopara	|	4780
1	|	Microdochium,	|	Microdochium	|	67608
1	|	Cyclospora,	|	Cyclospora	|	44417
1	|	Helobdella,	|	Helobdella	|	6411
1	|	Neurospora,	|	Neurospora	|	5140
1	|	Paramacrobiotus,	|	Paramacrobiotus	|	697304
1	|	Ictalurus,	|	Ictalurus	|	7997
1	|	Ilyonectria,	|	Ilyonectria	|	1079112
1	|	Daldinia,	|	Daldinia	|	42360
1	|	Carcharodon,	|	Carcharodon	|	13396
1	|	Cladophialophora,	|	Cladophialophora	|	82105
1	|	Anguilla,	|	Anguilla	|	7935
1	|	Candida,	|	Candida	|	5475
1	|	Colletotrichum,	|	Colletotrichum	|	5455
1	|	Podospora,	|	Podospora	|	5144
1	|	Gamsiella,	|	Gamsiella	|	2779868
1	|	Emiliania,	|	Emiliania	|	2902
1	|	Neohortaea,	|	Neohortaea	|	2072583
1	|	Kuraishia,	|	Kuraishia	|	317045
1	|	Nannizzia,	|	Nannizzia	|	1915381
1	|	Postia,	|	Postia	|	83235
1	|	Nothophytophthora,	|	Nothophytophthora	|	2025987
1	|	Bolivinella,	|	Bolivinella	|	2448407
1	|	Chlorarachnion,	|	Chlorarachnion	|	29198
1	|	Rhizopus,	|	Rhizopus	|	4842
1	|	Drechmeria,	|	Drechmeria	|	98402
1	|	Didymosphaeria,	|	Didymosphaeria	|	85947
1	|	Ogataea,	|	Ogataea	|	461281
1	|	Brettanomyces,	|	Brettanomyces	|	13366
1	|	Acaromyces,	|	Acaromyces	|	215249
1	|	Polarella,	|	Polarella	|	89956
1	|	Partenskyella,	|	Partenskyella	|	647365
1	|	Hyphopichia,	|	Hyphopichia	|	507510
1	|	Gaeumannomyces,	|	Gaeumannomyces	|	29849
1	|	Chrysophaeum,	|	Chrysophaeum	|	2483199
1	|	Ophidiomyces,	|	Ophidiomyces	|	1387562
1	|	Lotharella,	|	Lotharella	|	74819
1	|	Cladocopium,	|	Cladocopium	|	2486696
1	|	Pythium,	|	Pythium	|	4797
1	|	Pipistrellus,	|	Pipistrellus	|	27671
1	|	Cyclopterus,	|	Cyclopterus	|	8102
1	|	Albugo,	|	Albugo	|	65356
1	|	Cyanidioschyzon,	|	Cyanidioschyzon	|	45156
1	|	Mixia,	|	Mixia	|	34348
1	|	Monosiga,	|	Monosiga	|	81525
1	|	Microsporum,	|	Microsporum	|	34392
1	|	Mollisia,	|	Mollisia	|	86026
1+	|	Achlya,	|	Achlya	|	4765
1+	|	Achlya,	|	Achlya	|	753482
1	|	Amoebophrya,	|	Amoebophrya	|	88551
1	|	Puntigrus,	|	Puntigrus	|	1606679
1	|	Diaporthe,	|	Diaporthe	|	36922
1	|	Dermatophagoides,	|	Dermatophagoides	|	6953
1	|	Pseudogymnoascus,	|	Pseudogymnoascus	|	78156
1	|	Pestalotiopsis,	|	Pestalotiopsis	|	37840
1	|	Lobosporangium,	|	Lobosporangium	|	299330
1	|	Amorphotheca,	|	Amorphotheca	|	5100
1	|	Galdieria,	|	Galdieria	|	83373
1+	|	Rana,	|	Rana	|	8399
1+	|	Rana,	|	Rana	|	121175
1	|	Nothobranchius,	|	Nothobranchius	|	28779
1	|	Hyaloperonospora,	|	Hyaloperonospora	|	184462
1	|	Malassezia,	|	Malassezia	|	55193
1	|	Phaeodactylum,	|	Phaeodactylum	|	2849
1	|	Parastagonospora,	|	Parastagonospora	|	1351751
1+	|	Nitzschia,	|	Nitzschia	|	2857
1+	|	Nitzschia,	|	Nitzschia	|	651811
1	|	Branchiostoma,	|	Branchiostoma	|	7737
1	|	Metarhizium,	|	Metarhizium	|	5529
1	|	Protobothrops,	|	Protobothrops	|	103943
1	|	Epinephelus,	|	Epinephelus	|	94231
1	|	Pochonia,	|	Pochonia	|	243023
1	|	Cancris,	|	Cancris	|	604142
1	|	Paramecium,	|	Paramecium	|	5884
1	|	Puccinia,	|	Puccinia	|	5296
1	|	Reticulomyxa,	|	Reticulomyxa	|	46432
1	|	Nanorana,	|	Nanorana	|	120497
1	|	Kwoniella,	|	Kwoniella	|	490731
1	|	Nannochloropsis,	|	Nannochloropsis	|	5748
1	|	Podarcis,	|	Podarcis	|	42163
1	|	Pelagomonas,	|	Pelagomonas	|	35676
1+	|	Etheostoma,	|	Etheostoma	|	54318
1+	|	Etheostoma,	|	Etheostoma	|	909693
1	|	Cryphonectria,	|	Cryphonectria	|	5115
1	|	Gekko,	|	Gekko	|	8565
1	|	Apiotrichum,	|	Apiotrichum	|	105983
1	|	Ochromonadaceae,	|	Ochromonadaceae	|	88165
1	|	Bipolaris,	|	Bipolaris	|	33194
1+	|	Plasmodium,	|	Plasmodium	|	5820
2+	|	Plasmodium,	|	Plasmodium (Plasmodium)	|	418103
1	|	Plasmodiophora,	|	Plasmodiophora	|	37359
1	|	Diplodia,	|	Diplodia	|	66735
1	|	Fragilariopsis,	|	Fragilariopsis	|	186035
1	|	Capronia,	|	Capronia	|	43220
1	|	Coccidioides,	|	Coccidioides	|	5500
1	|	Paecilomyces,	|	Paecilomyces	|	33202
1	|	Lachnellula,	|	Lachnellula	|	47830
1	|	Psilocybe,	|	Psilocybe	|	71950
1	|	Cherax,	|	Cherax	|	6722
1	|	Botrytis,	|	Botrytis	|	33196
1	|	Bremia,	|	Bremia	|	4778
1	|	Anabas,	|	Anabas	|	64143
1	|	Alternaria,	|	Alternaria	|	5598
1	|	Cavenderia,	|	Cavenderia	|	2058187
1	|	Paraphaeosphaeria,	|	Paraphaeosphaeria	|	125369
1	|	Gymnodraco,	|	Gymnodraco	|	8217
