IQ-TREE multicore version 2.1.3 COVID-edition for Mac OS X 64-bit built Oct  4 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    Tessas-MacBook-Pro-2.local (AVX512, FMA3, 16 GB RAM)
Command: iqtree -s 7_Rhizaria_ann.fasta -nt AUTO -m LG+G4 -B 1000
Seed:    541656 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Oct  6 20:03:02 2023
Kernel:  AVX+FMA - auto-detect threads (8 CPU cores detected)

Reading alignment file 7_Rhizaria_ann.fasta ... Fasta format detected
ERROR: Sequence Aaosphaeria_arxii|Opisthokonta_Ascomycota|XP_033381091.1|OUTGROUP contains too many characters (193)
ERROR: Sequence Acanthaster_planci|Opisthokonta_Echinodermata_Acanthasteridae|XP_022089691.1|OUTGROUP contains not enough characters (176)
ERROR: Sequence Acaromyces_ingoldii|Opisthokonta_Basidiomycota_Cryptobasidiaceae|XP_025377459.1|OUTGROUP contains too many characters (195)
ERROR: Sequence Achlya_hypogyna|Opisthokonta_Arthropoda_Drepanidae|OQR95234.1 contains too many characters (190)
ERROR: Sequence Acipenser_ruthenus|Opisthokonta_Chordata_Acipenseridae|XP_034771046.1|OUTGROUP contains not enough characters (157)
ERROR: Sequence Actinia_tenebrosa|Opisthokonta_Cnidaria_Actiniidae|XP_031565033.1|OUTGROUP contains not enough characters (173)
ERROR: Sequence Acytostelium_subglobosum|Amoebozoa_Evosea_Acytosteliaceae|XP_012748607.1|OUTGROUP contains too many characters (185)
ERROR: Sequence Albugo_candida|Sar_Oomycota_Albuginaceae|CCI39434.1 contains not enough characters (151)
ERROR: Sequence Albugo_laibachii|Sar_Oomycota_Albuginaceae|CCA16454.1 contains not enough characters (151)
ERROR: Sequence Alternaria_atra|Opisthokonta_Ascomycota_Pleosporaceae|XP_043169283.1|OUTGROUP contains not enough characters (178)
ERROR: Sequence Alternaria_postmessia|Opisthokonta_Ascomycota_Pleosporaceae|XP_051582735.1|OUTGROUP contains not enough characters (180)
ERROR: Sequence Alternaria_postmessia|Opisthokonta_Ascomycota_Pleosporaceae|XP_051585274.1|OUTGROUP contains too many characters (192)
ERROR: Sequence Ammonia_sp.|Sar_Foraminifera_Rotaliidae|GIDR01047513.1.p1 contains not enough characters (181)
ERROR: Sequence Amoebophrya_sp.|Sar_Dinophyceae_Amoebophryaceae|CAD7925447.1 contains not enough characters (181)
ERROR: Sequence Amoebophrya_sp.|Sar_Dinophyceae_Amoebophryaceae|CAD7928554.1 contains not enough characters (160)
ERROR: Sequence Amoebophrya_sp.|Sar_Dinophyceae_Amoebophryaceae|CAD7936363.1 contains not enough characters (158)
ERROR: Sequence Amoebophrya_sp.|Sar_Dinophyceae_Amoebophryaceae|CAD7937334.1 contains too many characters (188)
ERROR: Sequence Amorphochlora_amoebiformis|Sar_Cercozoa|HBEM01005081.1.p1 contains too many characters (189)
ERROR: Sequence Amorphochlora_amoebiformis|Sar_Cercozoa|HBEM01014549.1.p1 contains not enough characters (166)
ERROR: Sequence Amorphochlora_amoebiformis|Sar_Cercozoa|HBEM01015070.1.p1 contains too many characters (189)
ERROR: Sequence Amorphochlora_amoebiformis|Sar_Cercozoa|HBEM01030416.1.p1 contains too many characters (186)
ERROR: Sequence Amphiprion_ocellaris|Opisthokonta_Chordata_Pomacentridae|XP_035810664.2|OUTGROUP contains not enough characters (176)
ERROR: Sequence Amyelois_transitella|Opisthokonta_Arthropoda_Pyralidae|XP_013183991.1|OUTGROUP contains not enough characters (164)
ERROR: Sequence Anabas_testudineus|Opisthokonta_Chordata_Anabantidae|XP_026213181.1|OUTGROUP contains not enough characters (143)
ERROR: Sequence Anarrhichthys_ocellatus|Opisthokonta_Chordata_Anarhichadidae|XP_031718629.1|OUTGROUP contains not enough characters (148)
ERROR: Sequence Anguilla_anguilla|Opisthokonta_Chordata_Anguillidae|XP_035265800.1|OUTGROUP contains not enough characters (161)
ERROR: Sequence Anneissia_japonica|Opisthokonta_Echinodermata_Comatulidae|XP_033125456.1|OUTGROUP contains not enough characters (167)
ERROR: Sequence Annulohypoxylon_maeteangense|Opisthokonta_Ascomycota_Hypoxylaceae|XP_047814185.1|OUTGROUP contains not enough characters (181)
ERROR: Sequence Annulohypoxylon_maeteangense|Opisthokonta_Ascomycota_Hypoxylaceae|XP_047815197.1|OUTGROUP contains not enough characters (162)
ERROR: Sequence Annulohypoxylon_maeteangense|Opisthokonta_Ascomycota_Hypoxylaceae|XP_047819044.1|OUTGROUP contains not enough characters (151)
ERROR: Sequence Annulohypoxylon_maeteangense|Opisthokonta_Ascomycota_Hypoxylaceae|XP_047820130.1|OUTGROUP contains too many characters (195)
ERROR: Sequence Annulohypoxylon_truncatum|Opisthokonta_Ascomycota_Hypoxylaceae|XP_047851508.1|OUTGROUP contains not enough characters (162)
ERROR: Sequence Annulohypoxylon_truncatum|Opisthokonta_Ascomycota_Hypoxylaceae|XP_047859489.1|OUTGROUP contains not enough characters (153)
ERROR: Sequence Anoplopoma_fimbria|Opisthokonta_Chordata_Anoplopomatidae|XP_054452807.1|OUTGROUP contains not enough characters (174)
ERROR: Sequence Anoplopoma_fimbria|Opisthokonta_Chordata_Anoplopomatidae|XP_054453824.1|OUTGROUP contains not enough characters (149)
ERROR: Sequence Aphanomyces_astaci|Sar_Oomycota_Saprolegniaceae|KAF0721254.1 contains too many characters (190)
ERROR: Sequence Aphanomyces_astaci|Sar_Oomycota_Saprolegniaceae|KAF0757944.1 contains not enough characters (156)
ERROR: Sequence Aphanomyces_astaci|Sar_Oomycota_Saprolegniaceae|RHX97930.1 contains not enough characters (181)
ERROR: Sequence Aphanomyces_astaci|Sar_Oomycota_Saprolegniaceae|XP_009821008.1 contains too many characters (190)
ERROR: Sequence Aphanomyces_cochlioides|Sar_Oomycota_Saprolegniaceae|KAG9398589.1 contains not enough characters (160)
ERROR: Sequence Aphanomyces_cochlioides|Sar_Oomycota_Saprolegniaceae|KAG9410378.1 contains too many characters (191)
ERROR: Sequence Aphanomyces_euteiches|Sar_Oomycota_Saprolegniaceae|KAF0729608.1 contains not enough characters (150)
